Product Description,Price(Dollar),Number of  reviews,Free days,Shipment
Acer Nitro 5 AN515-58-525P Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6" FHD 144Hz IPS Display | 8GB DDR4 | 512GB PCIe Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard,776,"1,117",90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73","1,129",329,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo Tab M10 Plus (3rd Gen) - 2022 - Long Battery Life - 10" FHD - Front & Rear 8MP Camera - 4GB Memory - upto128GB Storage - Android 12 or Later,158,"5,161",90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG Galaxy Tab S7 FE 12.4î 256GB WiFi Android Tablet, Large Screen, S Pen Included, Multi Device Connectivity, Long Lasting Battery, US Version, 2021, Mystic Black",559,215,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Pavilion x360 Convertible 14-inch Laptop, 11th Generation Intel Core i5-1135G7 processor, Iris Xe Graphics, 8GB RAM, 256 GB SSD, Windows 11 Home (14-dw1025nr, Natural silver)",545,"2,724",90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,218,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Katana 15 15.6"" 144Hz FHD Gaming Laptop: 13th Gen Intel Core i7, RTX 4070, 16GB DDR5, 1TB NVMe SSD, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US","1,421","35,939",90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode,329,"1,662",90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6î FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",240,324,90 days FREE. Terms apply.,Ships to Bangladesh
"Dell Inspiron 15 3000 Series 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",625,496,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 15-inch Touchscreen Laptop, AMD Ryzen 3 3250U, 8 GB RAM, 256 GB SSD, Windows 11 Home in S Mode (15-ef1020nr, Natural Silver)",415,78,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ROG Strix G15 (2022) Gaming Laptop, 15.6""ù 300Hz IPS FHD Display, NVIDIA GeForce RTX 3050, AMD Ryzen 7 6800H, 16GB DDR5, 1TB SSD, RGB Keyboard, Windows 11 Home, G513RC-IS74,Gray",999,127,90 days FREE. Terms apply.,Ships to Bangladesh
"HP ENVY x360 Convertible 15-inch Laptop, AMD Ryzen 7 5825U processor, AMD Radeon Graphics, 8 GB RAM, 512 GB SSD, Windows 11 Home (15-eu1026nr, Nightfall black aluminum)",662,509,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14" HD Corning Gorilla Glass Touch Display | 4GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P9G7,327,"5,626",90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo Tab M8 Tablet, HD Android Tablet, Quad-Core Processor, 2GHz, 32GB Storage, Full Metal Cover, Long Battery Life, Android 10 Pie, Iron Grey",108,303,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Platinum Grey",399,861,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Newest 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Blue)",206,117,90 days FREE. Terms apply.,Ships to Bangladesh
"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i9-13900KF 3.0GHz, GeForce RTX 4070 Ti 12GB, 16GB DDR5, 1TB NVMe PCIe SSD, WiFi Ready & Windows 11 Home (GXiVR8080A34), White","2,299","2,569",90 days FREE. Terms apply.,Ships to Bangladesh
Samsung Chromebook 4 Chrome OS 11.6" HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US,624,73,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Vivobook S 14 Flip 14î WUXGA 16:10 touch, AMD Ryzen 5 5600H CPU, 8GB RAM, 512GB SSD, NumberPad, FingerPrint, Windows 11 Home, Quiet Blue, TN3402QA-AS54T",169,668,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Chromebook C203XA Rugged & Spill Resistant Laptop, 11.6"" HD, 180 Degree, MediaTek Quad-Core Processor, 4GB RAM, 32GB eMMC, MIL-STD 810G Durability, Dark Grey, Education, Chrome OS, C203XA-YS02-GR","1,449",124,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Nitro 17 Gaming Laptop | AMD Ryzen 7 7735HS Octa-Core CPU | NVIDIA GeForce RTX 4070 Laptop GPU | 17.3" QHD 165Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6E | RGB Backlit KB | AN17-41-R7GT,899,267,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS TUF Gaming F15 (2022) Gaming Laptop, 15.6î FHD 144Hz Display, GeForce RTX 3050, Intel Core i5-12500H, 16GB DDR4, 512GB PCIe SSD, Wi-Fi 6, Windows 11, FX507ZC-ES53,Mecha Gray",599,334,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer 2022 Chromebook 315 15.6"" Full HD 1080p IPS Touchscreen Laptop PC, Intel Celeron N4020 Dual-Core Processor, 4GB DDR4 RAM, 64GB eMMC, Webcam, WiFi, 12 Hrs Battery Life, Chrome OS, Silver",235,106,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Vivobook Laptop L210 11.6"" Ultra Thin Laptop, Intel Celeron N4020 Processor, 4GB RAM, 128GB eMMC Storage, Windows 11 Home in S Mode with One Year of Office 365 Personal, L210MA-DS04,Star Black",67,67,90 days FREE. Terms apply.,Ships to Bangladesh
"Dell 11'' HD IPS Chromebook, Intel Celeron Processor Up to 2.40GHz, 4GB Ram, 16GB SSD, Super-Fast WiFi, Chrome OS, Dale Black (Renewed)",229,"1,051",90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6" Full HD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 Home in S mode,337,"4,396",90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire 5 A515-46-R3UB | 15.6" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode,"1,749",18,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ROG Strix G17 (2023) Gaming Laptop, 17.3î QHD 240Hz, GeForce RTX 4060, AMD Ryzen 9 7945HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G713PV-DS94, Eclipse Gray","1,322",243,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,545,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook 14 Slim Laptop Computer, 14"" IPS FHD Display, Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB PCIe SSD, Fingerprint Reader, Windows 11 Home in S Mode, Slate Grey, F415EA-AS31",331,270,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: Black 12UGKV-464","1,098","1,029",90 days FREE. Terms apply.,Ships to Bangladesh
"Newest HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Pink)",207,75,90 days FREE. Terms apply.,Ships to Bangladesh
"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB RAM, 1TB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",629,70,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2023 Convertible 2-in-1 Chromebook Laptop, 14"" HD IPS Touchscreen, Intel Celeron Processor up to 2.60GHz, 4GB Ram, 64GB SSD, 4K Graphics, Super-Fast 6th Gen WiFi, Chrome OS, Dale Blue(Renewed)",192,5,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Aegis RS Gaming Desktop: Intel Core i7-13700KF, RTX 4070, 32GB DDR5, 2TB M.2 NVMe, Liquid Cooling, WiFi 6E, Keyboard & Mouse, DIY Friendly, Windows 11 Home-Adv: 13NUE-450US","1,899",232,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,"1,205",90 days FREE. Terms apply.,Ships to Bangladesh
"SkyTech Chronos Mini Gaming Computer PC Desktop - Intel Core-i3 10100F 3.6GHz, GTX 1650 4G, 500GB SSD, 8G 3000, RGB Fans, AC WiFi, Windows 10 Home 64-bit",599,337,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Chromebook Flip C433 2 in 1 Laptop, 14"" Touchscreen FHD NanoEdge Display, Intel Core m3-8100Y Processor, 8GB RAM, 64GB eMMC Storage, Backlit Keyboard, Silver, Chrome OS, C433TA-AS384T",249,138,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Chromebook CX1, 15.6"" Full HD NanoEdge Display, Intel Celeron N3350 Processor, 64GB eMMC Storage, 8GB RAM, Chrome OS, Transparent Silver, CX1500CNA-AS84F",169,154,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",133,24,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo Tab M10 Plus 3rd Gen Tablet - 10" FHD - Android 12-32GB Storage - Long Battery Life,499,4,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 15.6"" HD Touchscreen Laptop, Intel Core i5-1155G7, 12GB RAM, 256GB SSD, Intel Iris Xe Graphics, Windows 11 Home","4,299",3,90 days FREE. Terms apply.,Ships to Bangladesh
Razer Blade 16 (2023) Gaming Laptop - NVIDIA GeForce RTX 4090-13th Gen Intel 24-Core i9 HX CPU - 16" Dual Mode Mini LED (4K UHD+ 120Hz & FHD+ 240Hz) - 32GB RAM - 2TB SSD,"1,599","6,937",90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ROG Strix G16 (2023) Gaming Laptop, 16î Nebula Display 16:10 QHD 240Hz, GeForce RTX 4050, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JU-ES94,Eclipse Gray",631,"2,484",90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo Flex 5 14 2-in-1 Laptop, 14.0"" FHD Touch Display, AMD Ryzen 5 4500U, 16GB RAM, 256GB Storage, AMD Radeon Graphics, Digital Pen Included, Win 10",160,"1,393",90 days FREE. Terms apply.,Ships to Bangladesh
HP 2020 Flagship 14 Chromebook Laptop Computer 14-inch HD SVA Anti-Glare Display Intel Celeron N5000 Processor 4GB DDR4 64GB eMMC WiFi Webcam Chrome OS (Renewed),240,"1,807",90 days FREE. Terms apply.,Ships to Bangladesh
"HP 15.6in Laptop (Intel Pentium Quad-Core N5000, 4GB RAM, 128GB SSD, HDMI, WiFi, Bluetooth, HD Webcam, Windows 10 S) (Renewed)","1,299","3,440",90 days FREE. Terms apply.,Ships to Bangladesh
Acer Predator Helios 300 PH315-54-760S Gaming Laptop | Intel i7-11800H | NVIDIA GeForce RTX 3060 GPU | 15.6" FHD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB SSD | Killer WiFi 6 | RGB Keyboard,752,196,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Nitro 5 AN515-55-53E5 Gaming Laptop | Intel Core i5-10300H | NVIDIA GeForce RTX 3050 GPU | 15.6" FHD 144Hz IPS Display | 8GB DDR4 | 256GB NVMe SSD | Intel Wi-Fi 6 | Backlit Keyboard,499,282,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo 2022 IdeaPad Flex 3 11.6"" HD 2-in-1 Touchscreen Chromebook (8-Core MediaTek MT8183, 4GB RAM, 64GB eMMC, Stylus, Webcam) Flip Convertible Home Education Laptop, IST Computers Pen, Chrome OS",879,1,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire C27-1700-UA91 AIO Desktop | 27" Full HD IPS Display | 12th Gen Intel Core i5-1235U | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe M.2 SSD | Intel Wireless Wi-Fi 6 | Windows 11 Home,144,227,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer 2023 15"" HD Premium Chromebook, Intel Celeron N Processor 2.78GHz Turbo Speed, 4GB Ram, 64GB SSD, Ultra-Fast WiFi Up to 1700 Mbps, Full Size Keyboard, Chrome OS, Arctic Silver Color-(Renewed)",749,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,462,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Shadow Gaming PC Desktop ñ Intel Core i5 12400F 2.5 GHz, NVIDIA RTX 3060 Ti, 1TB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit","1,199",7,Save $100.00 with coupon,Ships to Bangladesh
"HP 2023 14"" HD IPS Laptop, Intel Celeron Processor Up to 2.60GHz, 8GB RAM, 64GB SSD, Ultra-Fast WiFi, Webcam, Windows 11(Renewed)",225,912,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Stealth 17 Studio 17.3"" QHD 240Hz Gaming Laptop: 13th Gen Intel Core i9, RTX 4080, 32GB DDR5, 1TB NVMe SSD, Thunderbolt 4, USB-Type C, Cooler Boost Trinity+, Win11 Home: Core Black A13VH-053US","2,674",816,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 17-inch Laptop, 11th Generation Intel Core i5-1135G7, Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (17-cn0025nr,Natural Silver)",586,26,90 days FREE. Terms apply.,Ships to Bangladesh
"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB RAM, 2TB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",679,45,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2022 Newest Laptops for College Student & Business, 15.6 inch HD Computer, Intel Pentium Silver N5000, 16GB RAM, 1TB SSD, Office 365 1-Year, Fast Charge, Light-Weight, Windows 11, ROKC HDMI Cable",519,"2,477",90 days FREE. Terms apply.,Ships to Bangladesh
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6î Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",459,5,Save $102.00 with coupon,Ships to Bangladesh
"Gateway 2023 15"" Full HD IPS Chromebook, Intel 4-Core Pentium Processor Up to 3.30GHz, 4GB RAM, 192GB Storage(128GB SSD+64GB MSD), Ultra-Fast 6th Gen WiFi, Chrome OS-(Renewed)",155,"1,687",90 days FREE. Terms apply.,Ships to Bangladesh
"HP Newest Flagship Chromebook, 11.6"" HD (1366 x 768) Display, Intel Celeron Processor N3350, 4GB LPDDR2, 32GB eMMC, Chrome OS, HD Graphics 500, 11A-NB0013DX, Ash Gray",145,"5,852",90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook 15 Thin and Light Laptop, 15.6î FHD Display, Intel i3-1005G1 CPU, 8GB RAM, 128GB SSD, Backlit Keyboard, Fingerprint, Windows 10 Home in S Mode, Slate Gray, F512JA-AS34",359,204,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6î OLED 4K UHD Touch Display, Intel Core i7-10870H, 16GB RAM, 1TB SSD, GeForce RTX 3070, ScreenPad Plus, Windows 10 Pro, Celestial Blue, UX582LR-XS74T","2,399","1,820",90 days FREE. Terms apply.,Ships to Bangladesh
Samsung Chromebook 4 Chrome OS 11.6-inch HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US (Renewed),119,"3,682",90 days FREE. Terms apply.,Ships to Bangladesh
"iBUYPOWER Pro Gaming PC Computer Desktop SlateMR 2150V2 (Intel Core i5 12400F 2.5 GHz, GeForce GTX 1650 4GB, 8 GB DDR4 RAM, 500 GB NVMe SSD, WiFi Ready, Windows 11 Home)",769,39,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO DP21 12M-407US Mini PC Business Desktop, Intel Core i3-12100, Intel UHD 730 Graphics, 8GB Memory, 250GB M.2 SSD, WiFi 6, Windows 11 Home, 4K Dual Display Support, USB Type-C, HTPC 2022",349,21,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo Legion Tower 5i - 2022 - Gaming Desktop - NVIDIA GeForce RTX 3070 - Intel i7-12700F - RTX 3070-16GB RAM - 1TB SSD - Win 11 - Black - Mouse & Keyboard - Free 3-Month Xbox GamePass,"1,399",8,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo 2023 High Performance 14'' Full HD IPS Laptop, Intel i3-1115G4 Processor Up to 4.1GHz, 8GB RAM, 256GB SSD, Super-Fast 6th Gen WiFi, Windows 11 OS (Renewed)",256,450,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Shadow Gaming PC Desktop ñ AMD Ryzen 5 3600 3.6 GHz, NVIDIA RTX 3060, 1TB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit","1,001",184,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2022 Victus Gaming Laptop, 15.6-Inch 144Hz FHD Display, 12th Gen Core i5-12450H(Beat R7 5800H), 32GB 3200 RAM, 1TB PCIe SSD, NVIDIA GeForce GTX 1650, WiFi 6, Backlit KB, RJ-45, HDMI, Win 11 H",792,152,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo - 2022 - IdeaPad 3 - Travel Laptop Computer - AMD Ryzen 5 - 17.3" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Home,498,"3,213",90 days FREE. Terms apply.,Ships to Bangladesh
"HP 15.6 Inch Laptop, Intel Iris Xe Graphics, 11th Generation Intel Core Processor, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",459,"1,077",90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG Chromebook Plus V2, 2-in-1, 4GB RAM, 32GB eMMC, 13MP Camera, Chrome OS, 12.2"", 16:10 Aspect Ratio, Light Titan (XE520QAB-K01US)",499,251,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo IdeaCentre AIO 3i 22"" All-in-One Computer, Intel Core i3-1115G4, FHD Touch Display, 8GB RAM, 256GB SSD, DVD RW Drive, Windows 11",519,47,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS TUF Gaming F17 (2023) Gaming Laptop, 17.3î FHD 144Hz Display, GeForce RTX 4050, AMD Ryzen 7 7735HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707NU-DS74,Mecha Gray","1,229",82,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,36,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Shiva II Gaming PC Desktop ñ Intel Core i5 12400F 2.5 GHz, NVIDIA RTX 3060, 500GB NVME SSD, 16GB DDR4 RAM 3200, 650W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit,White",999,13,90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG 14î Galaxy Book3 Pro Laptop Computer, 13th Gen Intel Core i7-1360P Processor / 16GB / 512GB, 3K AMOLED Screen, 120hz, Fingerprint Reader, FHD Webcam, 2023 Model, NP940XFG-KC2US, Graphite","1,299","3,491",90 days FREE. Terms apply.,Ships to Bangladesh
"CYBERPOWERPC Gamer Xtreme VR Gaming PC, Intel Core i5-12400F 2.5GHz, GeForce RTX 3050 8GB, 16GB DDR4, 500GB NVMe SSD, WiFi & Win 11 Home (GXiVR8060A16), Black",949,417,90 days FREE. Terms apply.,Ships to Bangladesh
